
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward:   757.03 | Episode steps: 1001 | Average reward:   757.03 | Step Count: 1001 | Episode Q0:     1.35
Episode:   2/1000 | Episode reward:   756.38 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 2002 | Episode Q0:     1.47
Episode:   3/1000 | Episode reward:   756.53 | Episode steps: 1001 | Average reward:   756.64 | Step Count: 3003 | Episode Q0:     1.79
Episode:   4/1000 | Episode reward:   757.50 | Episode steps: 1001 | Average reward:   756.86 | Step Count: 4004 | Episode Q0:     2.15
Episode:   5/1000 | Episode reward:   756.60 | Episode steps: 1001 | Average reward:   756.81 | Step Count: 5005 | Episode Q0:     2.47
Episode:   6/1000 | Episode reward:   756.93 | Episode steps: 1001 | Average reward:   756.79 | Step Count: 6006 | Episode Q0:     2.91
Episode:   7/1000 | Episode reward:   756.15 | Episode steps: 1001 | Average reward:   756.74 | Step Count: 7007 | Episode Q0:     3.14
Episode:   8/1000 | Episode reward:   757.01 | Episode steps: 1001 | Average reward:   756.84 | Step Count: 8008 | Episode Q0:     3.35
Episode:   9/1000 | Episode reward:   756.20 | Episode steps: 1001 | Average reward:   756.58 | Step Count: 9009 | Episode Q0:     3.70
Episode:  10/1000 | Episode reward:   755.56 | Episode steps: 1001 | Average reward:   756.37 | Step Count: 10010 | Episode Q0:     4.53
Episode:  11/1000 | Episode reward:   756.21 | Episode steps: 1001 | Average reward:   756.23 | Step Count: 11011 | Episode Q0:     3.69
Episode:  12/1000 | Episode reward:   757.23 | Episode steps: 1001 | Average reward:   756.44 | Step Count: 12012 | Episode Q0:     5.05
Episode:  13/1000 | Episode reward:   756.66 | Episode steps: 1001 | Average reward:   756.37 | Step Count: 13013 | Episode Q0:     5.62
Episode:  14/1000 | Episode reward:   756.82 | Episode steps: 1001 | Average reward:   756.50 | Step Count: 14014 | Episode Q0:     5.30
Episode:  15/1000 | Episode reward:   756.93 | Episode steps: 1001 | Average reward:   756.77 | Step Count: 15015 | Episode Q0:     7.19
Episode:  16/1000 | Episode reward:   756.61 | Episode steps: 1001 | Average reward:   756.85 | Step Count: 16016 | Episode Q0:     5.27
