
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward:  -851.86 | Episode steps: 1001 | Average reward:  -851.86 | Step Count: 1001 | Episode Q0:     0.24
Episode:   2/1000 | Episode reward:  -133.49 | Episode steps: 1001 | Average reward:  -492.68 | Step Count: 2002 | Episode Q0:     1.23
Episode:   3/1000 | Episode reward:   -24.23 | Episode steps: 1001 | Average reward:  -336.53 | Step Count: 3003 | Episode Q0:     0.89
Episode:   4/1000 | Episode reward:   -24.31 | Episode steps: 1001 | Average reward:  -258.47 | Step Count: 4004 | Episode Q0:     0.59
Episode:   5/1000 | Episode reward:   -22.68 | Episode steps: 1001 | Average reward:  -211.32 | Step Count: 5005 | Episode Q0:     0.12
Episode:   6/1000 | Episode reward:   -23.90 | Episode steps: 1001 | Average reward:   -45.72 | Step Count: 6006 | Episode Q0:    -0.06
Episode:   7/1000 | Episode reward:   -23.16 | Episode steps: 1001 | Average reward:   -23.66 | Step Count: 7007 | Episode Q0:    -0.51
Episode:   8/1000 | Episode reward:   -21.02 | Episode steps: 1001 | Average reward:   -23.02 | Step Count: 8008 | Episode Q0:    -0.60
Episode:   9/1000 | Episode reward:   -21.65 | Episode steps: 1001 | Average reward:   -22.48 | Step Count: 9009 | Episode Q0:    -0.85
Episode:  10/1000 | Episode reward:   -22.77 | Episode steps: 1001 | Average reward:   -22.50 | Step Count: 10010 | Episode Q0:    -0.94
Episode:  11/1000 | Episode reward:   -24.85 | Episode steps: 1001 | Average reward:   -22.69 | Step Count: 11011 | Episode Q0:    -1.17
Episode:  12/1000 | Episode reward:   -20.22 | Episode steps: 1001 | Average reward:   -22.10 | Step Count: 12012 | Episode Q0:    -1.31
Episode:  13/1000 | Episode reward:   -22.12 | Episode steps: 1001 | Average reward:   -22.32 | Step Count: 13013 | Episode Q0:    -1.33
Episode:  14/1000 | Episode reward:   -27.24 | Episode steps: 1001 | Average reward:   -23.44 | Step Count: 14014 | Episode Q0:    -1.39
Episode:  15/1000 | Episode reward:   -34.48 | Episode steps: 1001 | Average reward:   -25.78 | Step Count: 15015 | Episode Q0:    -1.42
Episode:  16/1000 | Episode reward:   -54.04 | Episode steps: 1001 | Average reward:   -31.62 | Step Count: 16016 | Episode Q0:    -1.45
Episode:  17/1000 | Episode reward:   -75.24 | Episode steps: 1001 | Average reward:   -42.62 | Step Count: 17017 | Episode Q0:    -1.46
Episode:  18/1000 | Episode reward:   -77.81 | Episode steps: 1001 | Average reward:   -53.76 | Step Count: 18018 | Episode Q0:    -1.47
Episode:  19/1000 | Episode reward:   -84.79 | Episode steps: 1001 | Average reward:   -65.27 | Step Count: 19019 | Episode Q0:    -1.54
Episode:  20/1000 | Episode reward:  -104.39 | Episode steps: 1001 | Average reward:   -79.25 | Step Count: 20020 | Episode Q0:    -1.57
Episode:  21/1000 | Episode reward:  -135.38 | Episode steps: 1001 | Average reward:   -95.52 | Step Count: 21021 | Episode Q0:    -1.60
Episode:  22/1000 | Episode reward:  -172.32 | Episode steps: 1001 | Average reward:  -114.94 | Step Count: 22022 | Episode Q0:    -1.65
Episode:  23/1000 | Episode reward:  -192.47 | Episode steps: 1001 | Average reward:  -137.87 | Step Count: 23023 | Episode Q0:    -1.69
Episode:  24/1000 | Episode reward:  -187.43 | Episode steps: 1001 | Average reward:  -158.40 | Step Count: 24024 | Episode Q0:    -1.74
Episode:  25/1000 | Episode reward:  -184.20 | Episode steps: 1001 | Average reward:  -174.36 | Step Count: 25025 | Episode Q0:    -1.81
Episode:  26/1000 | Episode reward:  -217.19 | Episode steps: 1001 | Average reward:  -190.72 | Step Count: 26026 | Episode Q0:    -1.90
Episode:  27/1000 | Episode reward:  -200.11 | Episode steps: 1001 | Average reward:  -196.28 | Step Count: 27027 | Episode Q0:    -1.99
Episode:  28/1000 | Episode reward:  -171.83 | Episode steps: 1001 | Average reward:  -192.15 | Step Count: 28028 | Episode Q0:    -2.04
Episode:  29/1000 | Episode reward:  -250.44 | Episode steps: 1001 | Average reward:  -204.76 | Step Count: 29029 | Episode Q0:    -2.13
Episode:  30/1000 | Episode reward:  -235.66 | Episode steps: 1001 | Average reward:  -215.05 | Step Count: 30030 | Episode Q0:    -2.23
Episode:  31/1000 | Episode reward:  -260.76 | Episode steps: 1001 | Average reward:  -223.76 | Step Count: 31031 | Episode Q0:    -2.34
Episode:  32/1000 | Episode reward:  -250.38 | Episode steps: 1001 | Average reward:  -233.82 | Step Count: 32032 | Episode Q0:    -2.43
Episode:  33/1000 | Episode reward:  -248.16 | Episode steps: 1001 | Average reward:  -249.08 | Step Count: 33033 | Episode Q0:    -2.52
Episode:  34/1000 | Episode reward:  -209.93 | Episode steps: 1001 | Average reward:  -240.98 | Step Count: 34034 | Episode Q0:    -2.61
Episode:  35/1000 | Episode reward:  -156.19 | Episode steps: 1001 | Average reward:  -225.08 | Step Count: 35035 | Episode Q0:    -2.70
Episode:  36/1000 | Episode reward:   -99.76 | Episode steps: 1001 | Average reward:  -192.88 | Step Count: 36036 | Episode Q0:    -2.83
Episode:  37/1000 | Episode reward:   -37.60 | Episode steps: 1001 | Average reward:  -150.33 | Step Count: 37037 | Episode Q0:    -3.05
Episode:  38/1000 | Episode reward:   -22.90 | Episode steps: 1001 | Average reward:  -105.28 | Step Count: 38038 | Episode Q0:    -3.15
Episode:  39/1000 | Episode reward:   -24.02 | Episode steps: 1001 | Average reward:   -68.09 | Step Count: 39039 | Episode Q0:    -3.24
Episode:  40/1000 | Episode reward:   -22.69 | Episode steps: 1001 | Average reward:   -41.39 | Step Count: 40040 | Episode Q0:    -3.41
Episode:  41/1000 | Episode reward:   -23.68 | Episode steps: 1001 | Average reward:   -26.18 | Step Count: 41041 | Episode Q0:    -3.49
Episode:  42/1000 | Episode reward:   -22.17 | Episode steps: 1001 | Average reward:   -23.09 | Step Count: 42042 | Episode Q0:    -3.55
Episode:  43/1000 | Episode reward:   -23.91 | Episode steps: 1001 | Average reward:   -23.29 | Step Count: 43043 | Episode Q0:    -3.69
Episode:  44/1000 | Episode reward:   -23.86 | Episode steps: 1001 | Average reward:   -23.26 | Step Count: 44044 | Episode Q0:    -3.71
Episode:  45/1000 | Episode reward:   -25.81 | Episode steps: 1001 | Average reward:   -23.89 | Step Count: 45045 | Episode Q0:    -3.73
Episode:  46/1000 | Episode reward:   -27.28 | Episode steps: 1001 | Average reward:   -24.61 | Step Count: 46046 | Episode Q0:    -3.74
Episode:  47/1000 | Episode reward:   -45.03 | Episode steps: 1001 | Average reward:   -29.18 | Step Count: 47047 | Episode Q0:    -3.71
Episode:  48/1000 | Episode reward:   -64.84 | Episode steps: 1001 | Average reward:   -37.36 | Step Count: 48048 | Episode Q0:    -3.68
Episode:  49/1000 | Episode reward:   -70.27 | Episode steps: 1001 | Average reward:   -46.65 | Step Count: 49049 | Episode Q0:    -3.69
Episode:  50/1000 | Episode reward:   -79.32 | Episode steps: 1001 | Average reward:   -57.35 | Step Count: 50050 | Episode Q0:    -3.70
Episode:  51/1000 | Episode reward:   -90.39 | Episode steps: 1001 | Average reward:   -69.97 | Step Count: 51051 | Episode Q0:    -3.70
Episode:  52/1000 | Episode reward:   -97.30 | Episode steps: 1001 | Average reward:   -80.43 | Step Count: 52052 | Episode Q0:    -3.73
Episode:  53/1000 | Episode reward:  -110.50 | Episode steps: 1001 | Average reward:   -89.56 | Step Count: 53053 | Episode Q0:    -3.75
Episode:  54/1000 | Episode reward:  -119.95 | Episode steps: 1001 | Average reward:   -99.49 | Step Count: 54054 | Episode Q0:    -3.77
Episode:  55/1000 | Episode reward:  -120.94 | Episode steps: 1001 | Average reward:  -107.82 | Step Count: 55055 | Episode Q0:    -3.79
Episode:  56/1000 | Episode reward:  -139.89 | Episode steps: 1001 | Average reward:  -117.72 | Step Count: 56056 | Episode Q0:    -3.84
Episode:  57/1000 | Episode reward:  -113.63 | Episode steps: 1001 | Average reward:  -120.98 | Step Count: 57057 | Episode Q0:    -3.87
Episode:  58/1000 | Episode reward:   -84.83 | Episode steps: 1001 | Average reward:  -115.85 | Step Count: 58058 | Episode Q0:    -3.93
Episode:  59/1000 | Episode reward:   -73.18 | Episode steps: 1001 | Average reward:  -106.49 | Step Count: 59059 | Episode Q0:    -3.94
Episode:  60/1000 | Episode reward:   -61.78 | Episode steps: 1001 | Average reward:   -94.66 | Step Count: 60060 | Episode Q0:    -3.98
Episode:  61/1000 | Episode reward:   -52.18 | Episode steps: 1001 | Average reward:   -77.12 | Step Count: 61061 | Episode Q0:    -4.01
Episode:  62/1000 | Episode reward:   -43.27 | Episode steps: 1001 | Average reward:   -63.05 | Step Count: 62062 | Episode Q0:    -4.04
Episode:  63/1000 | Episode reward:   -35.36 | Episode steps: 1001 | Average reward:   -53.15 | Step Count: 63063 | Episode Q0:    -4.06
Episode:  64/1000 | Episode reward:   -30.22 | Episode steps: 1001 | Average reward:   -44.56 | Step Count: 64064 | Episode Q0:    -4.07
Episode:  65/1000 | Episode reward:   -29.25 | Episode steps: 1001 | Average reward:   -38.06 | Step Count: 65065 | Episode Q0:    -4.07
Episode:  66/1000 | Episode reward:   -28.27 | Episode steps: 1001 | Average reward:   -33.27 | Step Count: 66066 | Episode Q0:    -4.04
Episode:  67/1000 | Episode reward:   -33.92 | Episode steps: 1001 | Average reward:   -31.40 | Step Count: 67067 | Episode Q0:    -4.05
Episode:  68/1000 | Episode reward:   -44.00 | Episode steps: 1001 | Average reward:   -33.13 | Step Count: 68068 | Episode Q0:    -4.07
Episode:  69/1000 | Episode reward:   -61.53 | Episode steps: 1001 | Average reward:   -39.39 | Step Count: 69069 | Episode Q0:    -4.04
Episode:  70/1000 | Episode reward:   -82.59 | Episode steps: 1001 | Average reward:   -50.06 | Step Count: 70070 | Episode Q0:    -4.04
Episode:  71/1000 | Episode reward:   -89.60 | Episode steps: 1001 | Average reward:   -62.33 | Step Count: 71071 | Episode Q0:    -4.05
Episode:  72/1000 | Episode reward:   -85.54 | Episode steps: 1001 | Average reward:   -72.65 | Step Count: 72072 | Episode Q0:    -4.04
Episode:  73/1000 | Episode reward:   -79.93 | Episode steps: 1001 | Average reward:   -79.84 | Step Count: 73073 | Episode Q0:    -4.05
Episode:  74/1000 | Episode reward:   -78.65 | Episode steps: 1001 | Average reward:   -83.26 | Step Count: 74074 | Episode Q0:    -4.08
Episode:  75/1000 | Episode reward:   -77.64 | Episode steps: 1001 | Average reward:   -82.27 | Step Count: 75075 | Episode Q0:    -4.09
Episode:  76/1000 | Episode reward:   -87.50 | Episode steps: 1001 | Average reward:   -81.85 | Step Count: 76076 | Episode Q0:    -4.10
Episode:  77/1000 | Episode reward:  -104.17 | Episode steps: 1001 | Average reward:   -85.58 | Step Count: 77077 | Episode Q0:    -4.11
Episode:  78/1000 | Episode reward:  -108.61 | Episode steps: 1001 | Average reward:   -91.31 | Step Count: 78078 | Episode Q0:    -4.16
Episode:  79/1000 | Episode reward:  -105.24 | Episode steps: 1001 | Average reward:   -96.63 | Step Count: 79079 | Episode Q0:    -4.18
Episode:  80/1000 | Episode reward:  -113.98 | Episode steps: 1001 | Average reward:  -103.90 | Step Count: 80080 | Episode Q0:    -4.20
Episode:  81/1000 | Episode reward:   -76.91 | Episode steps: 1001 | Average reward:  -101.78 | Step Count: 81081 | Episode Q0:    -4.21
