
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward: -1429.21 | Episode steps: 1001 | Average reward: -1429.21 | Step Count: 1001 | Episode Q0:    -0.95
Episode:   2/1000 | Episode reward:  -647.05 | Episode steps: 1001 | Average reward: -1038.13 | Step Count: 2002 | Episode Q0:     0.49
Episode:   3/1000 | Episode reward:   -10.73 | Episode steps: 1001 | Average reward:  -695.66 | Step Count: 3003 | Episode Q0:     0.09
Episode:   4/1000 | Episode reward:   -11.19 | Episode steps: 1001 | Average reward:  -524.55 | Step Count: 4004 | Episode Q0:    -0.03
Episode:   5/1000 | Episode reward:   -10.60 | Episode steps: 1001 | Average reward:  -421.76 | Step Count: 5005 | Episode Q0:    -0.37
Episode:   6/1000 | Episode reward:   -11.22 | Episode steps: 1001 | Average reward:  -138.16 | Step Count: 6006 | Episode Q0:    -0.50
Episode:   7/1000 | Episode reward:   -10.70 | Episode steps: 1001 | Average reward:   -10.89 | Step Count: 7007 | Episode Q0:    -0.92
Episode:   8/1000 | Episode reward:    -9.72 | Episode steps: 1001 | Average reward:   -10.69 | Step Count: 8008 | Episode Q0:    -1.00
Episode:   9/1000 | Episode reward:    -9.89 | Episode steps: 1001 | Average reward:   -10.43 | Step Count: 9009 | Episode Q0:    -1.40
Episode:  10/1000 | Episode reward:   -10.17 | Episode steps: 1001 | Average reward:   -10.34 | Step Count: 10010 | Episode Q0:    -1.51
Episode:  11/1000 | Episode reward:   -11.52 | Episode steps: 1001 | Average reward:   -10.40 | Step Count: 11011 | Episode Q0:    -1.68
Episode:  12/1000 | Episode reward:    -9.49 | Episode steps: 1001 | Average reward:   -10.16 | Step Count: 12012 | Episode Q0:    -1.91
Episode:  13/1000 | Episode reward:    -9.95 | Episode steps: 1001 | Average reward:   -10.21 | Step Count: 13013 | Episode Q0:    -2.00
Episode:  14/1000 | Episode reward:   -10.73 | Episode steps: 1001 | Average reward:   -10.37 | Step Count: 14014 | Episode Q0:    -2.12
Episode:  15/1000 | Episode reward:   -11.11 | Episode steps: 1001 | Average reward:   -10.56 | Step Count: 15015 | Episode Q0:    -2.35
Episode:  16/1000 | Episode reward:   -12.23 | Episode steps: 1001 | Average reward:   -10.70 | Step Count: 16016 | Episode Q0:    -2.48
Episode:  17/1000 | Episode reward:   -10.07 | Episode steps: 1001 | Average reward:   -10.82 | Step Count: 17017 | Episode Q0:    -2.61
Episode:  18/1000 | Episode reward:   -11.33 | Episode steps: 1001 | Average reward:   -11.09 | Step Count: 18018 | Episode Q0:    -2.56
Episode:  19/1000 | Episode reward:   -12.42 | Episode steps: 1001 | Average reward:   -11.43 | Step Count: 19019 | Episode Q0:    -2.74
Episode:  20/1000 | Episode reward:   -11.29 | Episode steps: 1001 | Average reward:   -11.47 | Step Count: 20020 | Episode Q0:    -2.73
Episode:  21/1000 | Episode reward:   -12.62 | Episode steps: 1001 | Average reward:   -11.55 | Step Count: 21021 | Episode Q0:    -2.77
Episode:  22/1000 | Episode reward:   -11.55 | Episode steps: 1001 | Average reward:   -11.84 | Step Count: 22022 | Episode Q0:    -2.79
Episode:  23/1000 | Episode reward:   -13.64 | Episode steps: 1001 | Average reward:   -12.31 | Step Count: 23023 | Episode Q0:    -2.75
Episode:  24/1000 | Episode reward:   -13.37 | Episode steps: 1001 | Average reward:   -12.50 | Step Count: 24024 | Episode Q0:    -2.84
Episode:  25/1000 | Episode reward:   -14.71 | Episode steps: 1001 | Average reward:   -13.18 | Step Count: 25025 | Episode Q0:    -2.84
Episode:  26/1000 | Episode reward:   -15.12 | Episode steps: 1001 | Average reward:   -13.68 | Step Count: 26026 | Episode Q0:    -2.84
Episode:  27/1000 | Episode reward:   -16.15 | Episode steps: 1001 | Average reward:   -14.60 | Step Count: 27027 | Episode Q0:    -2.88
Episode:  28/1000 | Episode reward:   -16.02 | Episode steps: 1001 | Average reward:   -15.08 | Step Count: 28028 | Episode Q0:    -2.88
Episode:  29/1000 | Episode reward:   -17.38 | Episode steps: 1001 | Average reward:   -15.88 | Step Count: 29029 | Episode Q0:    -2.89
Episode:  30/1000 | Episode reward:   -19.38 | Episode steps: 1001 | Average reward:   -16.81 | Step Count: 30030 | Episode Q0:    -2.90
Episode:  31/1000 | Episode reward:   -27.67 | Episode steps: 1001 | Average reward:   -19.32 | Step Count: 31031 | Episode Q0:    -2.91
Episode:  32/1000 | Episode reward:   -48.51 | Episode steps: 1001 | Average reward:   -25.79 | Step Count: 32032 | Episode Q0:    -2.86
Episode:  33/1000 | Episode reward:   -15.44 | Episode steps: 1001 | Average reward:   -25.67 | Step Count: 33033 | Episode Q0:    -2.88
Episode:  34/1000 | Episode reward:   -15.53 | Episode steps: 1001 | Average reward:   -25.30 | Step Count: 34034 | Episode Q0:    -2.91
Episode:  35/1000 | Episode reward:   -15.51 | Episode steps: 1001 | Average reward:   -24.53 | Step Count: 35035 | Episode Q0:    -2.88
Episode:  36/1000 | Episode reward:   -15.33 | Episode steps: 1001 | Average reward:   -22.06 | Step Count: 36036 | Episode Q0:    -2.89
Episode:  37/1000 | Episode reward:   -15.62 | Episode steps: 1001 | Average reward:   -15.48 | Step Count: 37037 | Episode Q0:    -2.90
Episode:  38/1000 | Episode reward:   -15.54 | Episode steps: 1001 | Average reward:   -15.50 | Step Count: 38038 | Episode Q0:    -2.93
Episode:  39/1000 | Episode reward:   -16.70 | Episode steps: 1001 | Average reward:   -15.74 | Step Count: 39039 | Episode Q0:    -2.91
