
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward:  -454.88 | Episode steps: 1001 | Average reward:  -454.88 | Step Count: 1001 | Episode Q0:    -0.64
Episode:   2/1000 | Episode reward:   -94.14 | Episode steps: 1001 | Average reward:  -274.51 | Step Count: 2002 | Episode Q0:    -0.25
Episode:   3/1000 | Episode reward:   -46.67 | Episode steps: 1001 | Average reward:  -198.56 | Step Count: 3003 | Episode Q0:    -0.39
Episode:   4/1000 | Episode reward:    -3.37 | Episode steps: 1001 | Average reward:  -149.76 | Step Count: 4004 | Episode Q0:    -0.42
Episode:   5/1000 | Episode reward:    -3.25 | Episode steps: 1001 | Average reward:  -120.46 | Step Count: 5005 | Episode Q0:    -0.51
Episode:   6/1000 | Episode reward:    -3.51 | Episode steps: 1001 | Average reward:   -30.19 | Step Count: 6006 | Episode Q0:    -0.46
Episode:   7/1000 | Episode reward:    -3.53 | Episode steps: 1001 | Average reward:   -12.07 | Step Count: 7007 | Episode Q0:    -0.58
Episode:   8/1000 | Episode reward:    -3.29 | Episode steps: 1001 | Average reward:    -3.39 | Step Count: 8008 | Episode Q0:    -0.65
Episode:   9/1000 | Episode reward:    -3.50 | Episode steps: 1001 | Average reward:    -3.42 | Step Count: 9009 | Episode Q0:    -0.72
Episode:  10/1000 | Episode reward:    -3.66 | Episode steps: 1001 | Average reward:    -3.50 | Step Count: 10010 | Episode Q0:    -0.78
Episode:  11/1000 | Episode reward:    -4.25 | Episode steps: 1001 | Average reward:    -3.64 | Step Count: 11011 | Episode Q0:    -0.91
Episode:  12/1000 | Episode reward:    -3.70 | Episode steps: 1001 | Average reward:    -3.68 | Step Count: 12012 | Episode Q0:    -1.04
Episode:  13/1000 | Episode reward:    -4.17 | Episode steps: 1001 | Average reward:    -3.85 | Step Count: 13013 | Episode Q0:    -0.93
Episode:  14/1000 | Episode reward:    -5.42 | Episode steps: 1001 | Average reward:    -4.24 | Step Count: 14014 | Episode Q0:    -0.97
Episode:  15/1000 | Episode reward:   -77.48 | Episode steps: 1001 | Average reward:   -19.00 | Step Count: 15015 | Episode Q0:    -1.00
Episode:  16/1000 | Episode reward:    -7.21 | Episode steps: 1001 | Average reward:   -19.60 | Step Count: 16016 | Episode Q0:    -1.01
Episode:  17/1000 | Episode reward:    -8.07 | Episode steps: 1001 | Average reward:   -20.47 | Step Count: 17017 | Episode Q0:    -1.01
Episode:  18/1000 | Episode reward:    -7.67 | Episode steps: 1001 | Average reward:   -21.17 | Step Count: 18018 | Episode Q0:    -1.00
